time	V(input)
0.000000000000000e+00	0.000000e+00
1.428571424964633e-07	4.487994e-05
2.857142849929266e-07	8.975977e-05
4.285714274893899e-07	1.346395e-04
5.714285699858532e-07	1.795191e-04
7.142857124823165e-07	2.243986e-04
8.571428549787799e-07	2.692779e-04
9.999999974752427e-07	3.141572e-04
1.999999994950485e-06	6.283020e-04
3.999999989900971e-06	1.256505e-03
6.565592041991525e-06	2.062057e-03
9.135400013832039e-06	2.868395e-03
1.149806278474948e-05	3.609081e-03
1.375924334265612e-05	4.317211e-03
1.619209702734518e-05	5.078126e-03
1.851826470723734e-05	5.804567e-03
2.099759926430218e-05	6.577470e-03
2.282156424997371e-05	7.145062e-03
2.356708643896275e-05	7.376791e-03
2.392313573441644e-05	7.487405e-03
2.402472424625091e-05	7.518959e-03
2.410571903980998e-05	7.544113e-03
2.413174839773126e-05	7.552197e-03
2.415256908921959e-05	7.558663e-03
2.417054957673857e-05	7.564247e-03
2.419019741954044e-05	7.570348e-03
2.422949310514416e-05	7.582551e-03
2.429943028950988e-05	7.604267e-03
2.437065563218045e-05	7.626383e-03
2.445709804021722e-05	7.653220e-03
2.456536603988967e-05	7.686831e-03
2.470599850566679e-05	7.730484e-03
2.488654012330929e-05	7.786516e-03
2.512758380949109e-05	7.861309e-03
2.544920705650417e-05	7.961077e-03
2.589340978368491e-05	8.098816e-03
2.651275563182279e-05	8.290758e-03
2.739303785025307e-05	8.563350e-03
2.868178191087965e-05	8.961954e-03
3.068066884765335e-05	9.579030e-03
3.301312438118260e-05	1.029717e-02
3.540348959311015e-05	1.103083e-02
3.787025936254800e-05	1.178534e-02
4.032251172123457e-05	1.253261e-02
4.247377643199843e-05	1.318571e-02
4.362995274479293e-05	1.353572e-02
4.386527406941105e-05	1.360687e-02
4.402633639829393e-05	1.365556e-02
4.413360401970684e-05	1.368797e-02
4.425299940287221e-05	1.372404e-02
4.436579966839555e-05	1.375812e-02
4.446456350309237e-05	1.378794e-02
4.457220945736681e-05	1.382045e-02
4.468039081401174e-05	1.385311e-02
4.481752684079109e-05	1.389450e-02
4.499991227121297e-05	1.394953e-02
4.523181718499322e-05	1.401948e-02
4.554098782846534e-05	1.411268e-02
4.655593363097127e-05	1.441828e-02
4.744480359927818e-05	1.468544e-02
4.877810996020120e-05	1.508532e-02
5.096504241174273e-05	1.573890e-02
5.533890731482581e-05	1.703703e-02
6.295126938225678e-05	1.926507e-02
7.184361657403105e-05	2.181159e-02
8.429282886883107e-05	2.526059e-02
9.819769493675266e-05	2.892931e-02
1.159872424432223e-04	3.329760e-02
1.366923545152491e-04	3.785503e-02
1.649543681728458e-04	4.302980e-02
2.018053616062179e-04	4.772503e-02
2.189249783041583e-04	4.904996e-02
2.359129801790383e-04	4.980427e-02
2.570368623154522e-04	4.995114e-02
2.764568129065165e-04	4.931075e-02
3.080036646051841e-04	4.671604e-02
3.586470037962122e-04	3.879521e-02
4.367320843643683e-04	1.935683e-02
5.343883343643682e-04	-1.071955e-02
6.169009524375283e-04	-3.351119e-02
6.591255048489238e-04	-4.206855e-02
6.877979223491773e-04	-4.622971e-02
7.085167356016617e-04	-4.831117e-02
7.239645276445165e-04	-4.933248e-02
7.420177513287814e-04	-4.993713e-02
7.620310437140516e-04	-4.985721e-02
7.845831740476102e-04	-4.882424e-02
8.211418315831321e-04	-4.508746e-02
8.793678130478238e-04	-3.437186e-02
8.903208600665910e-04	-3.179347e-02
8.930591218212827e-04	-3.112485e-02
8.985356453306664e-04	-2.976019e-02
9.035122759165861e-04	-2.848950e-02
9.047564335630660e-04	-2.816742e-02
9.072447488560259e-04	-2.751813e-02
9.088502053111648e-04	-2.709563e-02
9.103429213122608e-04	-2.670032e-02
9.114375095615832e-04	-2.640895e-02
9.124069489825256e-04	-2.614985e-02
9.135557731317596e-04	-2.584155e-02
9.146012706119267e-04	-2.555981e-02
9.156462149125943e-04	-2.527712e-02
9.173724584401233e-04	-2.480773e-02
9.192530939563051e-04	-2.429304e-02
9.215133863118727e-04	-2.366997e-02
9.238666705711951e-04	-2.301619e-02
9.263093315284382e-04	-2.233225e-02
9.281456388973119e-04	-2.181463e-02
9.289316466234082e-04	-2.159217e-02
9.289799371078697e-04	-2.157849e-02
9.290765180767929e-04	-2.155111e-02
9.291048951545975e-04	-2.154307e-02
9.291332722324022e-04	-2.153502e-02
9.291616493102068e-04	-2.152697e-02
9.291900263880114e-04	-2.151893e-02
9.292184034658161e-04	-2.151088e-02
9.292467805436207e-04	-2.150283e-02
9.292751576214254e-04	-2.149479e-02
9.292916225999453e-04	-2.149012e-02
9.293135759046385e-04	-2.148389e-02
9.293574825140248e-04	-2.147143e-02
9.294118810609315e-04	-2.145600e-02
9.294461713242311e-04	-2.144627e-02
9.294724392287975e-04	-2.143881e-02
9.295059158270363e-04	-2.142931e-02
9.295388899402479e-04	-2.141995e-02
9.295776573497969e-04	-2.140895e-02
9.296208781904555e-04	-2.139667e-02
9.296797045277122e-04	-2.137997e-02
9.297492044963894e-04	-2.136023e-02
9.298383121335740e-04	-2.133491e-02
9.299586762473416e-04	-2.130071e-02
9.301131118278952e-04	-2.125681e-02
9.303334796735547e-04	-2.119412e-02
9.306309201674106e-04	-2.110945e-02
9.310783768665138e-04	-2.098194e-02
9.313981994675244e-04	-2.089070e-02
9.315796869508061e-04	-2.083888e-02
9.316923786941726e-04	-2.080669e-02
9.317688532967676e-04	-2.078485e-02
9.318271859784735e-04	-2.076818e-02
9.318732899908779e-04	-2.075500e-02
9.319103677384057e-04	-2.074440e-02
9.319405843814670e-04	-2.073576e-02
9.319661547063296e-04	-2.072846e-02
9.319895522396641e-04	-2.072177e-02
9.320162613880511e-04	-2.071413e-02
9.320415528693058e-04	-2.070690e-02
9.320921358318150e-04	-2.069243e-02
9.321404573662726e-04	-2.067861e-02
9.321911617023085e-04	-2.066411e-02
9.322662639266828e-04	-2.064262e-02
9.324164683754313e-04	-2.059963e-02
9.326467018102246e-04	-2.053371e-02
9.331071686798113e-04	-2.040172e-02
9.340281024189846e-04	-2.013724e-02
9.348869605726404e-04	-1.988998e-02
9.356975651817763e-04	-1.965608e-02
9.364406264356871e-04	-1.944122e-02
9.372799245001360e-04	-1.919803e-02
9.381508290130901e-04	-1.894511e-02
9.391427074048531e-04	-1.865637e-02
9.401995484857254e-04	-1.834792e-02
9.414493044779672e-04	-1.798213e-02
9.428636365023985e-04	-1.756683e-02
9.446364706296846e-04	-1.704431e-02
9.467785779651591e-04	-1.641013e-02
9.497383414239357e-04	-1.552901e-02
9.536437667867979e-04	-1.435820e-02
9.609112653109379e-04	-1.215700e-02
9.707680101033053e-04	-9.131954e-03
9.815567350285814e-04	-5.781163e-03
9.921025946972328e-04	-2.480025e-03
1.003490635671708e-03	1.096528e-03
1.015929420624651e-03	4.996024e-03
1.030355911349843e-03	9.478875e-03
1.046913857702091e-03	1.452592e-02
1.067055446601178e-03	2.044835e-02
1.091932153777476e-03	2.730186e-02
1.125002453443301e-03	3.535588e-02
1.171030398644147e-03	4.397036e-02
1.196293207401194e-03	4.718011e-02
1.214810198304398e-03	4.878280e-02
1.230904010415404e-03	4.964053e-02
1.246437529430907e-03	4.998748e-02
1.263675708795125e-03	4.981553e-02
1.287257839989255e-03	4.863620e-02
1.325454399804332e-03	4.448533e-02
1.386107653726302e-03	3.280377e-02
1.476577186548193e-03	7.331960e-03
1.574233436548193e-03	-2.248469e-02
1.636364971810263e-03	-3.778775e-02
1.672043199911290e-03	-4.412095e-02
1.697023329771038e-03	-4.725555e-02
1.715353883175919e-03	-4.881997e-02
1.731579800662626e-03	-4.966550e-02
1.747638111684077e-03	-4.999449e-02
1.764122075409922e-03	-4.980330e-02
1.787983598154610e-03	-4.858280e-02
1.826623484499559e-03	-4.431646e-02
1.887929041692981e-03	-3.236979e-02
1.979144436603036e-03	-6.533233e-03
2.076800686603036e-03	2.320211e-02
2.137503498090316e-03	3.802101e-02
2.172815062131858e-03	4.423451e-02
2.197580507086115e-03	4.731245e-02
2.215769067683021e-03	4.884797e-02
2.232095759145506e-03	4.968395e-02
2.248554663381579e-03	4.999794e-02
2.264462782679788e-03	4.979370e-02
2.288537515471463e-03	4.854137e-02
2.327515429762188e-03	4.418601e-02
2.389316978904228e-03	3.203624e-02
2.481094040908558e-03	5.925524e-03
2.560513006364341e-03	-1.855598e-02
2.616087084810213e-03	-3.332100e-02
2.665050056027003e-03	-4.304510e-02
2.698703827935311e-03	-4.742542e-02
2.716606852975901e-03	-4.890347e-02
2.733122866602651e-03	-4.971914e-02
2.748360996216714e-03	-4.999735e-02
2.764390794463384e-03	-4.979574e-02
2.788420481425537e-03	-4.855018e-02
2.827326999772665e-03	-4.421369e-02
2.889023888913481e-03	-3.210688e-02
2.940627064138267e-03	-1.822292e-02
2.984770228662191e-03	-4.777275e-03
3.028934199376050e-03	9.039958e-03
3.083521917304754e-03	2.505129e-02
3.144898555405842e-03	3.948821e-02
3.181724132677072e-03	4.546932e-02
3.204056696306666e-03	4.793116e-02
3.220612051821571e-03	4.915003e-02
3.237950919415534e-03	4.985678e-02
3.260514350235863e-03	4.989093e-02
3.282115906908239e-03	4.898547e-02
3.317158259030468e-03	4.561424e-02
3.373113901673842e-03	3.577183e-02
3.457981662781083e-03	1.304764e-02
3.510310889429036e-03	-3.236996e-03
3.553291813005973e-03	-1.643101e-02
3.596465831355019e-03	-2.848385e-02
3.642054571427274e-03	-3.893387e-02
3.686382721028975e-03	-4.605852e-02
